Bill,Fir Start Date,Bill Date,Accounting Date,Due Date,Total,Total Currency,Outstanding,Outstanding Currency,Country,Operator,Operator Ref ID,Call Sign,Aircraft Registration,Origin ICAO Code,Origin IATA Code,Destination ICAO Code,Destination IATA Code,Aircraft Manufacturer,Aircraft Model,Aircraft Model ICAO Code,Aircraft Model MTOW (kg),Fir Started,Fir Ended,Duration,Flight ID,Flight Segment ID,Flight Segment Observed Point Count,Flight Segment Point Count,Flight Segment Duration Seconds,Flight Duration Seconds,Flight Length Km,Flight Path Observed Point Count,Flight Path Point Count,Manually Updated,Flight Takeoff,Flight Landing,Departure Scheduled Utc,Arrival Scheduled Utc
LV22EVMKMV,2024-07-30 04:10:00 UTC,,,,395.00,USD,395.00,USD,Somalia,AIR AUSTRAL,NY9EAMYFE4,REU972,FOLRD,LFPG,CDG,FMEE,RUN,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-30 @ 04:10 UTC,2024-07-30 @ 04:50 UTC,00:40:00,ddbe43e9-5a21-4e53-ae91-9cb73b90d5a0,315d078e-c8ad-4e1d-b0f5-985b4933b281,33,33,2400,38520,9445.55,242,242,false,2024-07-29 21:07:00 UTC,2024-07-30 07:49:00 UTC,2024-07-29 20:45:00 UTC,2024-07-30 07:55:00 UTC
FKTZM32H4A,2024-07-30 08:47:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH641,ETANP,VABB,BOM,HAAB,ADD,BOEING,BOEING 777-200LR BBJ,B77L,347500.0,2024-07-30 @ 08:47 UTC,2024-07-30 @ 10:33 UTC,01:46:00,ed7e2bcd-d92f-4234-9855-5b11f4f6b363,a0fd9636-4fab-42a5-b092-0e4c53870555,4,4,6360,15180,3859.31,60,60,false,2024-07-30 06:22:00 UTC,2024-07-30 10:35:00 UTC,2024-07-30 05:35:00 UTC,2024-07-30 11:00:00 UTC
WFXPPNXMK4,2024-07-30 04:17:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH601,ETASL,OMDB,DXB,HAAB,ADD,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-30 @ 04:17 UTC,2024-07-30 @ 04:17 UTC,00:00:00,6f8eb623-149c-4841-83b9-24823dad2cda,a039531d-7b2e-4dc8-84bd-17c84ba87f4f,4,4,0,12300,2941.88,69,69,false,2024-07-30 01:02:00 UTC,2024-07-30 04:27:00 UTC,2024-07-30 00:25:00 UTC,2024-07-30 04:40:00 UTC
NA7PQW3A2P,2024-07-29 23:44:00 UTC,,,,395.00,USD,395.00,USD,Somalia,AIR MAURITIUS LIMITED,E9VVF7HATN,MAU53,3BNBU,EGKK,LGW,FIMP,MRU,AIRBUS,AIRBUS A-330-900,A339,251000.0,2024-07-29 @ 23:44 UTC,2024-07-30 @ 00:10 UTC,00:26:00,a3f6fefa-0964-4d70-9ffe-03f5131c27c9,ed5f7391-fa35-4f91-bd5a-98d97c0575f6,28,28,1560,42300,9940.0,281,281,false,2024-07-29 15:39:00 UTC,2024-07-30 03:24:00 UTC,2024-07-29 15:00:00 UTC,2024-07-30 03:00:00 UTC
UZ9FQAYJTE,2024-07-30 08:23:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE4DU,A6EDQ,OMDB,DXB,FAOR,JNB,AIRBUS,AIRBUS A-380-800,A388,560000.0,2024-07-30 @ 08:23 UTC,2024-07-30 @ 10:18 UTC,01:55:00,95f9355e-fc93-4d59-9669-c3b34d1fc4f2,7d321f89-ef6e-4b13-a0be-f3bc2058cfa6,30,30,6900,27660,6634.45,213,213,false,2024-07-30 06:47:00 UTC,2024-07-30 14:28:00 UTC,,
PPJPPNYCUT,2024-07-30 11:50:00 UTC,,,,345.00,USD,345.00,USD,Somalia,AIR ARABIA,R3YRCFJFWK,ABY735,A6ATF,HKJK,NBO,OMSJ,SHJ,AIRBUS,AIRBUS A-321neo,A21N,97000.0,2024-07-30 @ 11:50 UTC,2024-07-30 @ 14:18 UTC,02:28:00,db0f6810-8b31-4e60-9d13-7f03a77e0697,2dea4359-1d59-40f5-9737-da40374d3128,4,4,8880,17340,3812.15,40,40,false,2024-07-30 11:18:00 UTC,2024-07-30 16:07:00 UTC,2024-07-30 10:55:00 UTC,2024-07-30 16:00:00 UTC
FNWZEM9EQC,2024-07-30 09:26:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH689,ETATH,VIDP,DEL,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-07-30 @ 09:26 UTC,2024-07-30 @ 09:26 UTC,00:00:00,d9be664c-3906-4f2c-b3b0-647b6f912453,8ee30abf-044b-4ea9-bc8f-865aae143bb6,4,4,0,18900,4809.35,146,146,false,2024-07-30 04:21:00 UTC,2024-07-30 09:36:00 UTC,2024-07-30 04:05:00 UTC,2024-07-30 10:15:00 UTC
C3QX9UYXPL,2024-07-30 08:07:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE1KN,A6EPU,OMDB,DXB,,,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-30 @ 08:07 UTC,2024-07-30 @ 09:59 UTC,01:52:00,f0787928-c6c7-4178-9b96-6868eefd6364,908bf937-5cd9-4a08-8bd8-e6cff1c555ed,28,28,6720,27420,6740.19,203,203,false,2024-07-30 06:34:00 UTC,2024-07-30 14:11:00 UTC,,
DWWZTVK7Z9,2024-07-31 00:11:00 UTC,,,,345.00,USD,345.00,USD,Somalia,KENYA AIRWAYS LTD.,AK4EJKM49H,KQA203,5YCYE,VABB,BOM,HKJK,NBO,BOEING,BOEING 737-800,B738,70530.0,2024-07-31 @ 00:11 UTC,2024-07-31 @ 02:28 UTC,02:17:00,1f64742f-8e26-41af-9ddc-315e27950804,2fedd902-b1b4-4135-9885-02451314c04c,4,4,8220,20220,4693.19,81,81,false,2024-07-30 21:41:00 UTC,2024-07-31 03:18:00 UTC,2024-07-30 21:10:00 UTC,2024-07-31 03:25:00 UTC
QP3PVF9PZF,2024-07-30 14:45:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE730,A6EGM,HUEN,EBB,OMDB,DXB,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-30 @ 14:45 UTC,2024-07-30 @ 18:06 UTC,03:21:00,d6cd7a7b-d6b8-458c-b4e2-b352d060a96f,e15f2c28-1fdb-4091-b59f-11596e45bc8e,2,2,12060,17880,4126.77,64,64,false,2024-07-30 14:20:00 UTC,2024-07-30 19:18:00 UTC,2024-07-30 13:25:00 UTC,2024-07-30 18:50:00 UTC
TEYY7UMC2C,2024-07-30 16:22:00 UTC,,,,365.00,USD,365.00,USD,Somalia,AIR TANZANIA,EEPNT9RVR3,ATC504,5HTCO,HKJK,NBO,OMSJ,SHJ,BOEING,BOEING 767-300,B763,186880.0,2024-07-30 @ 16:22 UTC,2024-07-30 @ 19:07 UTC,02:45:00,9f4298fa-fe55-4f12-9f2a-d690f314ca0b,b7c2a0c4-3a4a-4c37-a1ea-5dbb863ab765,17,17,9900,18480,4025.74,107,107,false,2024-07-30 16:07:00 UTC,2024-07-30 21:15:00 UTC,,
2P2QVV7PCL,2024-07-30 04:42:00 UTC,,,,345.00,USD,345.00,USD,Somalia,OMAN AIR,PWYJYKMFN9,OMA708,A4OME,HTZA,ZNZ,OOMS,MCT,BOEING,BOEING 737 MAX 8,B38M,82191.0,2024-07-30 @ 04:42 UTC,2024-07-30 @ 06:58 UTC,02:16:00,318f9061-c811-4273-957a-70bff356d2e9,c0fcb058-5eb3-476a-a6d9-00ed284fa790,37,37,8160,18540,4024.65,120,120,false,2024-07-30 03:46:00 UTC,2024-07-30 08:55:00 UTC,2024-07-30 03:00:00 UTC,2024-07-30 08:25:00 UTC
KMELPEM44N,2024-07-30 18:29:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH3743,ETARI,ZSAM,XMN,HAAB,ADD,BOEING,BOEING 777-200,B772,247210.0,2024-07-30 @ 18:29 UTC,2024-07-30 @ 18:29 UTC,00:00:00,6e3e54e5-aff5-4a88-b678-690fd18f0c89,8cfb63a0-9206-4ec2-a89d-8815a4ac055a,2,2,0,34080,8802.11,273,273,false,2024-07-30 09:08:00 UTC,2024-07-30 18:36:00 UTC,,
QYD9H2HYXM,2024-07-30 01:19:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH673,ETAOU,RKSI,ICN,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-07-30 @ 01:19 UTC,2024-07-30 @ 03:01 UTC,01:42:00,ac7c2509-7ccc-417c-9818-caa6fb0f917c,a2beec0d-2472-41cd-8f64-60741559b38d,4,4,6120,38700,10072.41,403,403,false,2024-07-29 16:25:00 UTC,2024-07-30 03:10:00 UTC,2024-07-29 16:05:00 UTC,2024-07-30 03:45:00 UTC
UTW7E4LPN4,2024-07-06 08:46:00 UTC,,,,395.00,USD,395.00,USD,Somalia,AIR FRANCE,VCUKH9C3FA,AFR647,FGSQS,FMEE,RUN,LFPG,CDG,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-06 @ 08:46 UTC,2024-07-06 @ 10:22 UTC,01:36:00,64b073a0-2ef9-4083-b20f-23a874b77fb4,5d7cc291-05b2-47c5-a92e-edf3381d4db9,9,9,5760,39660,9667.96,260,260,false,2024-07-06 05:57:00 UTC,2024-07-06 16:58:00 UTC,2024-07-06 05:30:00 UTC,2024-07-06 17:10:00 UTC
924N4WKMCY,2024-07-30 07:05:00 UTC,,,,345.00,USD,345.00,USD,Somalia,AIR ARABIA,R3YRCFJFWK,ABY734,A6ATF,OMSJ,SHJ,HKJK,NBO,AIRBUS,AIRBUS A-321neo,A21N,97000.0,2024-07-30 @ 07:05 UTC,2024-07-30 @ 09:20 UTC,02:15:00,6d515d1a-71a7-4360-beee-3189bcbebd50,5db331e2-b25b-4ad3-b674-0f0457387a4b,4,4,8100,17340,3891.28,104,104,false,2024-07-30 05:16:00 UTC,2024-07-30 10:05:00 UTC,2024-07-30 05:00:00 UTC,2024-07-30 10:05:00 UTC
NKJPVH2F7Y,2024-07-30 12:10:00 UTC,,,,345.00,USD,345.00,USD,Somalia,FLYDUBAI,PVM4KVPCC4,FDB620,A6FEB,HUEN,EBB,OMDB,DXB,BOEING,BOEING 737-800,B738,70530.0,2024-07-30 @ 12:10 UTC,2024-07-30 @ 12:10 UTC,00:00:00,1109c227-dfed-4b6e-b946-34e607c2cb5e,e77ae4dd-2b6a-4140-a0bc-cce5399ca254,2,2,0,19020,4156.11,90,90,false,2024-07-30 08:49:00 UTC,2024-07-30 14:06:00 UTC,2024-07-30 08:30:00 UTC,2024-07-30 14:10:00 UTC
XE7PHZHJ2H,2024-07-07 17:42:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR91E,A7BAA,FSIA,SEZ,OTHH,DOH,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-07 @ 17:42 UTC,2024-07-07 @ 17:42 UTC,00:00:00,ca1ea66f-89d8-4b47-a3e5-3dd443058561,7ca0dbbc-1735-4efd-8eb4-aee1b2684c43,2,2,0,15960,3713.97,78,78,false,2024-07-07 15:23:00 UTC,2024-07-07 19:49:00 UTC,2024-07-07 15:30:00 UTC,2024-07-07 20:15:00 UTC
C2VCFMQLDU,2024-07-30 18:19:00 UTC,,,,345.00,USD,345.00,USD,Somalia,OMAN AIR,PWYJYKMFN9,QTR20F,A4ODI,HTDA,DAR,VCBI,CMB,BOEING,BOEING 737-200,B732,52390.0,2024-07-30 @ 18:19 UTC,2024-07-30 @ 21:31 UTC,03:12:00,29eb4d9c-e9fc-47a7-a177-5920153e895f,5440a9c5-ce6e-4dc2-8be0-c2eccfbb9343,3,4,11520,25020,7512.97,127,128,false,2024-07-30 14:35:00 UTC,2024-07-30 21:32:00 UTC,2024-07-30 16:50:00 UTC,2024-07-30 21:55:00 UTC
CFZXJL4DNP,2024-07-29 23:31:00 UTC,,,,395.00,USD,395.00,USD,Somalia,AIR FRANCE,VCUKH9C3FA,AFR935,FHTYS,FMMI,TNR,LFPG,CDG,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-07-29 @ 23:31 UTC,2024-07-30 @ 01:01 UTC,01:30:00,1883acd0-21ef-4947-a339-e84cd89508cc,9ed10a53-3306-4e2b-a469-2d60f2a7e508,37,37,5400,30360,9197.64,265,266,false,2024-07-29 23:21:00 UTC,2024-07-30 07:47:00 UTC,2024-07-29 20:55:00 UTC,2024-07-30 08:10:00 UTC
PN3ATJQDP7,2024-07-31 02:16:00 UTC,,,,395.00,USD,395.00,USD,Somalia,AIR MAURITIUS LIMITED,E9VVF7HATN,MAU14,3BNBQ,FIMP,MRU,LFPG,CDG,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-07-31 @ 02:16 UTC,2024-07-31 @ 03:20 UTC,01:04:00,272f9efb-5c1f-4a7f-93d7-c1709cf69b2c,edc309a5-cb8b-437d-8b70-f68641866e70,7,7,3840,40080,9684.16,243,243,false,2024-07-30 23:09:00 UTC,2024-07-31 10:17:00 UTC,2024-07-30 18:45:00 UTC,2024-07-31 06:35:00 UTC
PJHTUJX4FC,2024-07-30 00:46:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH685,ETATQ,ZSPD,PVG,HAAB,ADD,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-07-30 @ 00:46 UTC,2024-07-30 @ 02:31 UTC,01:45:00,6b665bf3-8ef8-4f8f-92f7-fa425b46bfe6,2b59adfb-51f0-4525-ad31-55a7c31b5689,4,4,6300,35400,9276.85,390,390,false,2024-07-29 16:48:00 UTC,2024-07-30 02:38:00 UTC,2024-07-29 16:20:00 UTC,2024-07-30 03:45:00 UTC
XXPH9QFKAW,2024-07-30 15:12:00 UTC,,,,345.00,USD,345.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH308,ETAPL,HCMM,MGQ,HKJK,NBO,BOEING,BOEING 737-800,B738,70530.0,2024-07-30 @ 15:12 UTC,2024-07-30 @ 15:20 UTC,00:08:00,42ceaae2-0fa6-45cd-a29d-83149719ef2e,2e8a45a3-8c7d-446b-bcde-a3b6382d921f,5,5,480,25800,2323.89,47,47,false,2024-07-30 15:12:00 UTC,2024-07-30 22:22:00 UTC,2024-07-30 20:15:00 UTC,2024-07-30 22:20:00 UTC
KV3DVP7JN2,2024-07-30 21:55:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR1452,A7BCC,FVRG,HRE,OTHH,DOH,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-07-30 @ 21:55 UTC,2024-07-31 @ 00:10 UTC,02:15:00,2db14f3b-cc5b-4fe5-9038-d8ff37dfc421,419062d0-57a1-4d13-a76b-302be6f44576,38,38,8100,35700,5971.72,126,126,false,2024-07-30 16:22:00 UTC,2024-07-31 02:17:00 UTC,2024-07-30 19:25:00 UTC,2024-07-31 02:40:00 UTC
UVM229TZVU,2024-07-30 04:03:00 UTC,,,,345.00,USD,345.00,USD,Somalia,FLYDUBAI,PVM4KVPCC4,FDB619,A6FEB,OMDB,DXB,HUEN,EBB,BOEING,BOEING 737-800,B738,70530.0,2024-07-30 @ 04:03 UTC,2024-07-30 @ 04:03 UTC,00:00:00,30db3bb9-8cb2-411e-a67a-09da675d3f57,280f248b-8c1e-485c-ad79-200b0c189222,2,2,0,17100,4058.2,111,111,false,2024-07-30 02:26:00 UTC,2024-07-30 07:11:00 UTC,2024-07-30 01:50:00 UTC,2024-07-30 07:30:00 UTC
XKPMY3TDP2,2024-07-30 06:58:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE99T,A6ENT,OMDB,DXB,FSIA,SEZ,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-30 @ 06:58 UTC,2024-07-30 @ 06:58 UTC,00:00:00,23a405f1-27d7-404f-8279-42d6b4193526,2d53c573-e811-43cf-b8cc-625160cf36f2,2,2,0,14580,3366.71,86,86,false,2024-07-30 05:26:00 UTC,2024-07-30 09:29:00 UTC,2024-07-30 04:55:00 UTC,2024-07-30 09:35:00 UTC
CFATD9UPAV,2024-07-11 05:21:00 UTC,,,,395.00,USD,395.00,USD,Somalia,NEOS S.P.A.,4NPWT37AYK,NOS361,EINUA,FMNN,NOS,EPWA,WAW,BOEING,BOEING Dreamliner (Srs.9),B789,254011.7272,2024-07-11 @ 05:21 UTC,2024-07-11 @ 05:21 UTC,00:00:00,fd38a374-deca-41ba-bbad-3f8133802ac1,9af363ec-f6d0-48ae-8c8e-ef482c20c428,1,2,0,10800,7913.11,169,170,false,2024-07-11 05:21:00 UTC,2024-07-11 08:21:00 UTC,2024-07-10 23:30:00 UTC,2024-07-11 08:20:00 UTC
EVT23MUPZX,2024-07-31 02:13:00 UTC,,,,345.00,USD,345.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH695,ETAZO,OPKC,KHI,HAAB,ADD,BOEING,BOEING 737 MAX 8,B38M,82191.0,2024-07-31 @ 02:13 UTC,2024-07-31 @ 02:13 UTC,00:00:00,a1406b82-ec71-49d4-8b1e-2b9ac656bdb0,61338454-f88a-4b5e-85b5-e286d4813035,4,4,0,15900,3764.87,74,74,false,2024-07-30 21:54:00 UTC,2024-07-31 02:19:00 UTC,2024-07-30 21:00:00 UTC,2024-07-31 02:30:00 UTC
3L7CEX2UA4,2024-07-30 17:07:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE2H,A6EEX,FIMP,MRU,OMDB,DXB,AIRBUS,AIRBUS A-380-800,A388,560000.0,2024-07-30 @ 17:07 UTC,2024-07-30 @ 17:07 UTC,00:00:00,9a4a8ec5-fb11-47de-9051-f3ee2dd68725,45e2deef-5f7e-426c-8b71-b47ea63d5c19,2,2,0,22140,5243.3,91,91,false,2024-07-30 12:51:00 UTC,2024-07-30 19:00:00 UTC,2024-07-30 12:35:00 UTC,2024-07-30 19:10:00 UTC
EEXV924PT9,2024-07-30 17:38:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR22G,A7BBF,FSIA,SEZ,OTHH,DOH,BOEING,BOEING 777-200F,B77L,347500.0,2024-07-30 @ 17:38 UTC,2024-07-30 @ 17:38 UTC,00:00:00,17a890b8-85c2-438d-92e7-f1cb330e6a4c,9e9213f6-2241-4b72-8d4c-7e0b48ae1cb4,2,2,0,15300,3605.19,52,52,false,2024-07-30 15:13:00 UTC,2024-07-30 19:28:00 UTC,2024-07-30 15:30:00 UTC,2024-07-30 20:15:00 UTC
LAZZ9KE4TP,2024-07-30 02:05:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR3W,A7BBF,OTHH,DOH,FSIA,SEZ,BOEING,BOEING 777-200F,B77L,347500.0,2024-07-30 @ 02:05 UTC,2024-07-30 @ 02:05 UTC,00:00:00,22d17c8d-821f-41e5-b4f4-060622336ad0,1fd701f7-3a76-4446-9348-6a2e0e9e5a57,2,2,0,16020,3653.24,107,107,false,2024-07-30 00:03:00 UTC,2024-07-30 04:30:00 UTC,,
KLTDMNF99Y,2024-07-30 04:24:00 UTC,,,,395.00,USD,395.00,USD,Somalia,AIR MAURITIUS LIMITED,E9VVF7HATN,MAU42,3BNCF,FIMP,MRU,EGKK,LGW,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-07-30 @ 04:24 UTC,2024-07-30 @ 05:06 UTC,00:42:00,428a5fd1-47d6-4328-b2e3-08ec13520c84,1d4a718c-b652-47b6-9064-7ab22e5f2cdc,5,5,2520,42480,10047.87,298,298,false,2024-07-30 01:22:00 UTC,2024-07-30 13:10:00 UTC,2024-07-29 17:35:00 UTC,2024-07-30 05:50:00 UTC
